SalePrice,House.Style,Overall.Qual,Overall.Cond,Year.Built,Foundation,Bedroom.AbvGr,Yr.Sold,Sale.Condition,
105000,1Story,5,6,1961,CBlock,2,2010,Normal,
172000,1Story,6,6,1958,CBlock,3,2010,Normal,
244000,1Story,7,5,1968,CBlock,3,2010,Normal,
189900,2Story,5,5,1997,PConc,3,2010,Normal,
195500,2Story,6,6,1998,PConc,3,2010,Normal,
236500,1Story,8,5,1995,PConc,2,2010,Normal,
175900,2Story,6,5,1993,PConc,3,2010,Normal,
185000,1Story,6,7,1992,PConc,3,2010,Normal,
171500,1Story,7,5,1990,PConc,2,2010,Normal,
538000,2Story,8,5,2003,PConc,4,2010,Normal,
164000,1.5Fin,8,7,1988,Wood,4,2010,Normal,
394432,1Story,9,2,2010,PConc,1,2010,Partial,
141000,1Story,4,5,1951,CBlock,2,2010,Normal,
190000,1Story,6,6,1977,CBlock,3,2010,Normal,
216000,2Story,7,5,2000,PConc,3,2010,Normal,
149000,1Story,6,7,1970,CBlock,2,2010,Normal,
149900,1Story,5,6,1971,CBlock,3,2010,Normal,
126000,1Story,4,5,1970,CBlock,2,2010,Normal,
184000,1Story,7,5,1999,PConc,2,2010,Normal,
96000,2Story,6,5,1971,CBlock,2,2010,Normal,
88000,2Story,6,5,1971,CBlock,3,2010,Family,
127500,1Story,6,5,1977,CBlock,2,2010,Normal,
149900,2Story,6,6,1975,CBlock,3,2010,Normal,
120000,1Story,7,6,1975,CBlock,2,2010,Normal,
146000,2Story,6,5,1978,CBlock,3,2010,Normal,
376162,2Story,9,5,2009,PConc,3,2010,Partial,
306000,1Story,8,5,2007,PConc,3,2010,Normal,
395192,1Story,9,5,2009,PConc,3,2010,Partial,
290941,1Story,8,5,2009,PConc,3,2010,Partial,
220000,1Story,7,5,2005,PConc,3,2010,Partial,
275000,1Story,9,5,2005,PConc,3,2010,Normal,
259000,1Story,8,5,2005,PConc,3,2010,Normal,
611657,1Story,9,5,2009,PConc,2,2010,Partial,
224000,1Story,7,5,2009,PConc,2,2010,Partial,
500000,1Story,9,5,2003,PConc,3,2010,Normal,
320000,2Story,8,5,2002,PConc,3,2010,Normal,
319900,1Story,9,5,2005,PConc,2,2010,Normal,
175500,2Story,7,5,2003,PConc,2,2010,Normal,
199500,1Story,6,5,2005,PConc,3,2010,Normal,
160000,1Story,7,5,2006,PConc,2,2010,Normal,
192000,1Story,8,5,2004,PConc,2,2010,Normal,
184500,SLvl,7,5,2004,PConc,3,2010,Normal,
185088,2Story,7,5,2004,PConc,3,2010,Normal,
180000,SLvl,7,5,2000,PConc,3,2010,Normal,
222500,2Story,7,5,2001,PConc,3,2010,Normal,
333168,2Story,9,5,1999,PConc,4,2010,Normal,
355000,2Story,8,5,1998,PConc,4,2010,Normal,
260400,1Story,7,5,1996,PConc,3,2010,Normal,
325000,2Story,8,5,1994,PConc,3,2010,Normal,
290000,2Story,8,7,1999,PConc,4,2010,Normal,
221000,2Story,7,5,1998,PConc,4,2010,Normal,
221500,1Story,8,5,2005,PConc,2,2010,Normal,
215200,2Story,7,5,2009,PConc,3,2010,Normal,
262500,1Story,8,5,2008,PConc,3,2010,Normal,
254900,2Story,7,5,2004,PConc,3,2010,Normal,
181000,2Story,7,5,2004,PConc,3,2010,Normal,
205000,2Story,7,5,1994,PConc,3,2010,Normal,
143000,1Story,6,5,1980,CBlock,2,2010,Normal,
189000,2Story,6,5,1992,PConc,3,2010,Normal,
99500,1Story,6,5,1979,CBlock,2,2010,Normal,
125000,1Story,6,5,1984,CBlock,2,2010,Normal,
194500,2Story,7,7,1993,PConc,3,2010,Normal,
152000,1Story,6,5,1984,PConc,3,2010,Normal,
171000,2Story,6,6,1980,CBlock,3,2010,Normal,
67500,1Story,5,5,1920,BrkTil,2,2010,Normal,
138500,1Story,5,8,1965,CBlock,3,2010,Normal,
